,tag_id,artwork_id
3925,1,NGA-e7c96521-c176-435a-a019-3b9f012742ce
1468,1,ARTIC-db94c894-a24c-c2e0-9db9-0506567a0152
5065,1,MET-9b1edec1-4cba-4129-a5d5-8d8b14957549
2964,1,NGA-8681fef5-68c8-4449-9a71-4722f0bc2899
5484,1,MET-3d31919c-cbfe-465a-adc3-5092324de602
10204,1,TCMA-e5e8a77f-859c-49ae-9bf2-4eed4f63409a
11838,1,TCMA-8a802ba8-7dca-4068-95f4-60b22d921ac2
1470,1,ARTIC-dcad8730-941b-a68e-0edb-fb60cef0d6a3
10212,1,TCMA-959ee65d-dd73-4940-b9a3-1a82b115b85a
1464,1,ARTIC-db36f74f-47d9-ad08-cdf9-b4b436e6d18c
5482,1,MET-930a09ed-badf-4c21-a782-88565de22f22
10213,1,TCMA-043ac2cd-3826-4e2d-a3c8-128f4ecc8c7b
6269,1,MET-1d897dac-4a88-48a0-9849-f909cd35fef8
10222,1,TCMA-4fa7e34c-4a69-4af7-88a6-f6d584c65893
2970,1,NGA-87504268-8ecd-425b-a106-e92a46bb2884
11831,1,TCMA-ade54116-f3e2-4048-9b07-d9039508a748
6009,1,MET-f0c4b197-89f4-42d6-99df-378fb9bdc68f
5480,1,MET-9e5c8995-5f12-4222-8cb9-f881f7d180d1
10219,1,TCMA-7ed2c246-71f6-4e5c-9b36-2d1566c3c890
397,1,ARTIC-38bb6be4-223e-af7a-7e18-f9ad0c388d3c
1460,1,ARTIC-dac4ead1-77cd-a46f-5c35-9f8b5132525d
5064,1,MET-0a6c3f57-644b-466c-b1ab-8feab3f1d37a
5066,1,MET-de121d81-fcab-4e6c-8996-00da8a890ccc
10218,1,TCMA-2a3a8d0b-9a11-4104-a3b8-e8dc82cc03d0
2968,1,NGA-87327813-1d7e-43e4-bdcd-06e852095654
6767,1,MET-2cecb091-37fb-4610-9fc3-97d0d99ad851
10216,1,TCMA-69a141d7-7b73-4b0f-8f9f-657e8617bda8
10215,1,TCMA-2696f405-0033-494b-b167-c10d868f8370
10214,1,TCMA-e8f16b27-d32b-4e0d-a59d-28b2a566e141
5481,1,MET-36f41df6-b0e2-4490-a006-8499bf6a7261
1463,1,ARTIC-db1f6435-23d1-b7ac-9c44-ad70cefdb9c3
3624,1,NGA-ca6bdfda-1f11-4dfa-bb1a-52c124281595
11832,1,TCMA-d970a777-d0fa-4359-a800-afeb870d191e
10325,1,TCMA-4aa7e17d-1d2f-4e38-91b8-aca9d24d47bf
5443,1,MET-09dd5509-15af-42b3-a3cd-7049ba8855d7
6023,1,MET-20a38941-33d9-4fd2-add3-e48d2359a2aa
4774,1,MET-b3246b48-3b52-4a01-a03d-29899a1dfea5
4539,1,MET-e90228b5-21b2-437f-8ef0-7bda7a5fe02e
1278,1,ARTIC-bd8432e6-65f7-a32a-4e1a-85593633fa8f
467,1,ARTIC-42307ee8-3dc8-3549-4c82-b1387e2f2372
11739,1,TCMA-b482cc7b-ce5c-4af4-9c75-01d6e143d97b
5386,1,MET-6458b530-ba26-4cef-98b5-0ba3ee1fa088
10485,1,TCMA-1c5cd67a-b7d9-4110-8cfd-f52868b3dc95
6045,1,MET-7f3667a4-5935-4d09-9063-dce62f389814
